"Grupa produktowa,Forma Platnosci,Wojewodztwo,Miesiac i rok transakcji,Sprzedaz (srednia),Sprzedaz (mediana),Sprzedaz (minimum),Sprzedaz (maksimum),Sprzedaz (odchylenie standardowe)"
"Pralki,Kredyt,Zachód,1 2004","1172,26","900,00","626,00","1954,00","460,96"
"Pralki,Kredyt,Œl¹sk,1 2004","1093,60","1048,50","626,00","1898,00","394,66"
"Telewizory,Gotówka,Centrum,1 2004","781,69","772,00","618,00","1018,00","103,37"
"Telewizory,Gotówka,Pomorze,1 2004","709,76","675,00","596,00","970,00","100,03"
"Telewizory,Gotówka,Po³udnie,1 2004","748,13","715,00","627,00","899,00","79,30"
"Telewizory,Gotówka,Pó³noc,1 2004","678,00","695,00","616,00","723,00","45,31"
"Telewizory,Gotówka,Wschód,1 2004","759,00","748,50","609,00","940,00","85,78"
"Telewizory,Gotówka,Zachód,1 2004","762,97","749,00","622,00","969,00","93,75"
"Telewizory,Gotówka,Œl¹sk,1 2004","736,32","709,00","604,00","970,00","93,18"
"Telewizory,Karta,Centrum,1 2004","780,43","763,00","647,00","987,00","87,69"
"Telewizory,Karta,Pomorze,1 2004","726,54","685,00","589,00","873,00","95,98"
"Telewizory,Karta,Po³udnie,1 2004","758,43","772,00","606,00","888,00","85,06"
"Telewizory,Karta,Pó³noc,1 2004","785,29","747,00","674,00","970,00","122,12"
"Telewizory,Karta,Wschód,1 2004","745,44","725,00","596,00","873,00","84,19"
"Telewizory,Karta,Zachód,1 2004","743,50","749,50","616,00","899,00","77,98"
"Telewizory,Karta,Œl¹sk,1 2004","708,64","681,00","596,00","970,00","86,96"
"Telewizory,Kredyt,Centrum,1 2004","771,23","785,00","635,00","916,00","84,62"
"Telewizory,Kredyt,Pomorze,1 2004","763,67","753,00","675,00","863,00","89,31"
"Telewizory,Kredyt,Po³udnie,1 2004","814,07","772,00","644,00","999,00","110,25"
"Telewizory,Kredyt,Pó³noc,1 2004","863,00","863,00","863,00","863,00",",00"
"Telewizory,Kredyt,Wschód,1 2004","741,47","748,50","609,00","970,00","95,55"
"Telewizory,Kredyt,Zachód,1 2004","740,91","705,00","609,00","999,00","89,40"
"Telewizory,Kredyt,Œl¹sk,1 2004","715,81","747,00","609,00","863,00","75,63"
"Zmywarki,Gotówka,Centrum,1 2004","1349,32","1241,00","957,00","1834,00","258,56"
"Zmywarki,Gotówka,Pomorze,1 2004","1315,17","1199,00","962,00","1747,00","250,44"
"Zmywarki,Gotówka,Po³udnie,1 2004","1314,78","1217,00","957,00","1799,00","239,75"
"Zmywarki,Gotówka,Pó³noc,1 2004","1341,25","1218,00","1069,00","1747,00","243,49"
"Zmywarki,Gotówka,Wschód,1 2004","1250,65","1182,00","962,00","1747,00","228,03"
"Zmywarki,Gotówka,Zachód,1 2004","1347,86","1217,00","957,00","1799,00","255,70"
"Zmywarki,Gotówka,Œl¹sk,1 2004","1280,53","1182,00","930,00","1747,00","251,76"
"Zmywarki,Karta,Centrum,1 2004","1378,73","1291,00","976,00","1834,00","273,86"
"Zmywarki,Karta,Pomorze,1 2004","1343,59","1303,00","930,00","1747,00","245,52"
"Zmywarki,Karta,Po³udnie,1 2004","1363,45","1252,00","957,00","1799,00","278,83"
"Zmywarki,Karta,Pó³noc,1 2004","1218,48","1146,00","962,00","1747,00","227,52"
"Zmywarki,Karta,Wschód,1 2004","1312,66","1263,00","930,00","1747,00","241,25"
"Zmywarki,Karta,Zachód,1 2004","1310,93","1217,00","957,00","1799,00","240,58"
"Zmywarki,Karta,Œl¹sk,1 2004","1313,49","1182,00","962,00","1747,00","245,06"
"Zmywarki,Kredyt,Centrum,1 2004","1356,30","1241,00","991,00","1834,00","253,41"
"Zmywarki,Kredyt,Pomorze,1 2004","1305,83","1218,00","962,00","1747,00","241,33"
"Zmywarki,Kredyt,Po³udnie,1 2004","1420,12","1342,00","991,00","1799,00","271,28"
"Zmywarki,Kredyt,Pó³noc,1 2004","1341,15","1254,00","962,00","1670,00","231,94"
"Zmywarki,Kredyt,Wschód,1 2004","1324,89","1254,00","962,00","1747,00","248,12"
"Zmywarki,Kredyt,Zachód,1 2004","1288,72","1207,00","962,00","1799,00","232,35"
"Zmywarki,Kredyt,Œl¹sk,1 2004","1294,47","1182,00","962,00","1747,00","255,26"
"Hi-Fi,Gotówka,Centrum,2 2004","854,89","882,00","688,00","1030,00","77,43"
"Hi-Fi,Gotówka,Pomorze,2 2004","806,87","775,00","725,00","981,00","71,12"
"Hi-Fi,Gotówka,Po³udnie,2 2004","874,00","878,00","679,00","1010,00","92,72"
"Hi-Fi,Gotówka,Pó³noc,2 2004","648,67","656,00","634,00","656,00","10,37"
"Hi-Fi,Gotówka,Wschód,2 2004","788,00","775,00","758,00","831,00","31,19"
"Hi-Fi,Gotówka,Zachód,2 2004","868,19","861,00","735,00","1010,00","75,05"
"Hi-Fi,Gotówka,Œl¹sk,2 2004","789,47","758,00","682,00","862,00","55,96"
"Hi-Fi,Karta,Centrum,2 2004","828,55","846,00","744,00","999,00","69,94"
"Hi-Fi,Karta,Pomorze,2 2004","847,55","836,00","659,00","981,00","98,21"
